n_genes,n_cells,K,glmpca_loglik,nmf_loglik
500,250,2,2.541288315179006e-6,0.2609731682269376
500,250,5,3.960750912802534e-6,0.39340635426268716
500,250,10,4.7056161003830315e-6,0.5841241616064514
500,250,20,6.95847981468738e-6,0.7698058168637127
1000,500,2,8.168156865103574e-7,0.3563706547061709
1000,500,5,1.1805090086464276e-6,0.5059392551985273
1000,500,10,1.5261291896000316e-6,0.6545093171308547
1000,500,20,1.8008827736421023e-6,0.8192615113458201
2000,1000,2,2.54158399287793e-7,0.46598149931327776
2000,1000,5,3.355592055649149e-7,0.6049611690188238
2000,1000,10,4.0831874355032026e-7,0.7333227372534397
2000,1000,20,4.614995892177389e-7,0.8618176769677673
4000,2000,2,7.701795567431415e-8,0.5847547332564647
4000,2000,5,9.338177687905436e-8,0.701226144980347
4000,2000,10,1.0802909265368241e-7,0.8029319533344476
4000,2000,20,1.1759256477622273e-7,0.8976585914563999
7000,3500,2,2.8765476570700336e-8,0.6843952712780688
7000,3500,5,3.2751061539388605e-8,0.7701570588384339
7000,3500,10,3.642443154306866e-8,0.846945648963281
7000,3500,20,3.9009377147812874e-8,0.9268955109790605
