n_genes,n_cells,K,glmpca_loglik,nmf_loglik
500,250,2,3.662043410757258e-6,0.4605175437489122
500,250,5,3.5548663625292137e-6,0.44794117110799186
500,250,10,3.5235594366276254e-6,0.4448825560339088
500,250,20,3.917034535258183e-6,0.4509386392346228
1000,500,2,1.1604292775545624e-6,0.5823418332082652
1000,500,5,1.1564216794569425e-6,0.5817833972468773
1000,500,10,1.164258425761186e-6,0.5839215621054198
1000,500,20,1.2943695453739062e-6,0.5811890328223884
2000,1000,2,3.4464176722578965e-7,0.6913599557677551
2000,1000,5,3.433834189777825e-7,0.6898156631177738
2000,1000,10,3.4219241154443083e-7,0.6876419729407862
2000,1000,20,3.858176674390932e-7,0.7037102071492077
4000,2000,2,9.930992083599188e-8,0.7957738808609037
4000,2000,5,9.902052094167428e-8,0.7945469641842958
4000,2000,10,9.956224582295673e-8,0.7965932366671689
4000,2000,20,1.0641001463855765e-7,0.7949811074656945
7000,3500,2,3.474966458954578e-8,0.8525187854221079
7000,3500,5,3.49126310465803e-8,0.857165416123322
7000,3500,10,3.486896531783434e-8,0.8547281188710668
7000,3500,20,3.658513381129961e-8,0.8547491580204528
